DCID,Field,URL,Status_Code,Message,Is_404
dc/base/CensusACS5YearSurvey_SubjectTables_S1502,sourceDataUrl,https://data.census.gov/table/ACSST5Y2024.S1502?q=S1502,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1502,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1502,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1602,prov_url,https://data.census.gov/cedsci/table?q=S1602&tid=ACSST5Y2023.S1602,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1602,sourceDataUrl,https://data.census.gov/cedsci/table?q=S1602&tid=ACSST5Y2023.S1602,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1602,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1602,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1603,prov_url,https://data.census.gov/cedsci/table?q=S1603&tid=ACSST5Y2023.S1603,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1603,sourceDataUrl,https://data.census.gov/cedsci/table?q=S1603&tid=ACSST5Y2023.S1603,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1603,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1603,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1702,prov_url,https://data.census.gov/cedsci/table?q=S1702&tid=ACSST5Y2023.S1702,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1702,sourceDataUrl,https://data.census.gov/table/ACSST5Y2023.S1702?q=S1702,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1702,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
